Category,Subcategory,Tag/Item,Description,Usage Context,Related Items
Research Tags,AI & Technology,agentic-ai,Autonomous AI systems that take independent action,Era: Agentic AI; Future-focused content,"autonomous-systems, multi-agent"
Research Tags,Systems & Complexity,systems-thinking,Holistic approach to analyzing interconnected systems,Thinkers: Senge; Books: Regenerative Organization,"complexity-theory, holistic-analysis"
Research Tags,Systems & Complexity,complexity-theory,Study of complex adaptive systems,Books: Regenerative Organization,"systems-thinking, emergence"
Research Tags,Systems & Complexity,network-theory,Mathematical study of networks and relationships,Frameworks: Network Analysis,"graph-theory, social-networks"
Research Tags,Systems & Complexity,emergence,Properties arising from interactions of simpler components,Books: Regenerative Organization; Quantum Logic,"complexity-theory, systems-thinking"
Research Tags,Systems & Complexity,cybernetics,Study of control and communication in systems,Thinkers: Wiener; Books: Thinking Engine,"feedback-loops, systems-thinking"
Research Tags,Systems & Complexity,feedback-loops,Circular processes where outputs influence inputs,Frameworks: Systems Dynamics,"cybernetics, systems-thinking"
Research Tags,Organization & Leadership,organizational-behavior,Study of human behavior in organizational settings,Books: Regenerative Organization; WorkFamilyAI,"leadership, culture"
Research Tags,Organization & Leadership,leadership,Process of influencing and guiding groups,Books: WorkFamilyAI; GCBAT,"organizational-behavior, management"
Research Tags,Organization & Leadership,change-management,Structured approach to transitioning organizations,Books: Regenerative Organization,"organizational-behavior, transformation"
Research Tags,Organization & Leadership,organizational-culture,Shared values and practices within organizations,Books: Regenerative Organization; WorkFamilyAI,"organizational-behavior, leadership"
Research Tags,Organization & Leadership,team-dynamics,Behavioral relationships between team members,Books: WorkFamilyAI,"leadership, collaboration"
Research Tags,Organization & Leadership,holacracy,Self-organizing governance structure,Books: Regenerative Organization; WorkFamilyAI,"organizational-structure, self-organization"
Research Tags,Philosophy & Logic,philosophy-of-mind,Study of consciousness and mental phenomena,Thinkers: Dennett; Books: Thinking Engine,"consciousness, cognitive-science"
Research Tags,Philosophy & Logic,epistemology,Theory of knowledge and justified belief,Thinkers: Popper; Books: Thinking Engine,"knowledge, logic"
Research Tags,Philosophy & Logic,logic,Study of valid reasoning and inference,Books: Thinking Engine; Quantum Logic,"reasoning, formal-systems"
Research Tags,Philosophy & Logic,ethics,Moral principles governing behavior,Books: Tech for Humanity,"ai-ethics, governance, values"
Research Tags,Philosophy & Logic,metaphysics,Study of fundamental nature of reality,Books: Quantum Logic; Thinking Engine,"ontology, philosophy-of-mind"
Research Tags,Philosophy & Logic,phenomenology,Study of structures of consciousness and experience,Thinkers: Husserl,"consciousness, philosophy-of-mind"
Research Tags,Specific Thinkers,kahneman,Daniel Kahneman - Nobel laureate in behavioral economics,Lobe: Decision/Action; Domain: Behavioral Economics,"behavioral-economics, cognitive-bias, heuristics"
Research Tags,Specific Thinkers,simon,Herbert Simon - Bounded rationality and satisficing,Lobe: Decision/Action; Domain: Decision Science,"bounded-rationality, decision-science"
Research Tags,Specific Thinkers,senge,Peter Senge - Learning organizations and systems thinking,Lobe: Innovation/Strategy; Domain: Organizational Learning,"systems-thinking, learning-organizations"
Research Tags,Specific Thinkers,mckinsey,Organizational strategy and management frameworks,Books: Regenerative Organization,"strategy, organizational-behavior"
Brain Lobes,Cognitive Domain,Perception/Patterning,Pattern recognition and sensory integration,Thinkers focused on perception and pattern recognition,"pattern-recognition, cognitive-architecture"
Brain Lobes,Cognitive Domain,Decision/Action,Decision-making and action execution,Thinkers: Kahneman; Simon; Frameworks: Decision Theory,"decision-science, behavioral-economics"
Brain Lobes,Cognitive Domain,Innovation/Strategy,Strategic thinking and innovation,Thinkers: Senge; Books: Regenerative Organization,"strategy, innovation, systems-thinking"
Brain Lobes,Cognitive Domain,Ethics/Governance,Moral reasoning and governance frameworks,Books: Tech for Humanity; Sections: ethics-consent,"ethics, governance, ai-alignment"
Brain Lobes,Cognitive Domain,Culture/Behaviour,Cultural patterns and behavioral norms,Books: WorkFamilyAI; GCBAT,"organizational-culture, behavioral-economics"
Technological Eras,Historical Period,On-Prem Era,Local infrastructure and client-server architecture,Pre-2010 technologies and frameworks,"client-server, monolithic-architecture"
Technological Eras,Historical Period,Cloud Native Era,Distributed computing and SaaS platforms,2010-2020 technologies,"microservices, kubernetes, cloud-computing"
Technological Eras,Historical Period,Generative AI Era,Large language models and content generation,2020-2024 technologies,"llm, gpt, diffusion-models, generative-ai"
Technological Eras,Historical Period,Agentic AI Era,Autonomous AI systems and multi-agent coordination,2024-2028 emerging technologies,"agentic-ai, autonomous-systems, multi-agent"
Technological Eras,Historical Period,BCI Era,Brain-computer interfaces and neural integration,2028+ future technologies,"brain-computer-interface, neural-technology"
Book Collections,Premier Collection,the-thinkers,Comprehensive catalog of 4500+ thinkers and frameworks,book_slug: the-thinkers; Status: seeded,"thinkers, frameworks, expanded-profiles"
Book Collections,Premier Collection,tech-for-humanity,15-volume series on technology for human benefit,book_slug: tech-for-humanity; Status: partial; 5/15 volumes,"ethics, healthcare, education, climate"
Book Collections,Premier Collection,thinking-engine,15-chapter exploration of cognitive systems,book_slug: thinking-engine; Status: partial; 6/15 chapters,"disciplines, frameworks, technologies, thinkers"
Book Collections,Premier Collection,gcbat-vignettes,Narrative vignettes exploring AI governance,book_slug: gcbat-vignettes; Status: seeded,"characters, arcs, story-matrix, narratives"
Book Collections,In Development,workfamilyai,Work-family alignment through AI systems,book_slug: workfamilyai; Status: partial; 3 chapters,"neural-ennead, alignment, executive-teams"
Book Collections,In Development,quantum-logic-systems,Quantum computation and quantum biology,book_slug: quantum-logic-systems; Status: scaffold,"quantum-computation, quantum-biology, quantum-medicine"
Book Collections,In Development,regenerative-organization,Sustainable organizational transformation,book_slug: regenerative-organization; Status: scaffold,"strip-map-update, transformation, sustainability"
Book Collections,In Development,sovereign-systems,Individual and collective autonomy frameworks,book_slug: sovereign-systems; Status: scaffold,"sovereignty, autonomy, governance"
Book Collections,On the Drawing Board,the-far-cage,Societal constraints and freedom frameworks,book_slug: the-far-cage; Status: scaffold,"societal-constraints, freedom, governance"
Book Collections,On the Drawing Board,living-stack,Technology ecosystem integration,book_slug: living-stack; Status: scaffold,"ecosystem, integration, tech-stack"
Section Slugs,GCBAT,arc-1,First narrative arc in GCBAT vignettes,Section in gcbat-vignettes,"characters, vignettes, narrative"
Section Slugs,GCBAT,arc-2,Second narrative arc in GCBAT vignettes,Section in gcbat-vignettes,"characters, vignettes, narrative"
Section Slugs,GCBAT,arc-3,Third narrative arc in GCBAT vignettes,Section in gcbat-vignettes,"characters, vignettes, narrative"
Section Slugs,GCBAT,characters,Character profiles and backstories,Section in gcbat-vignettes,"elena-vasquez, marcus-chen, sarah-kim"
Section Slugs,Tech for Humanity,ethics-consent,Ethical frameworks and consent mechanisms,Volume A1 in tech-for-humanity,"ai-ethics, consent, privacy"
Section Slugs,Tech for Humanity,governance-policy,Governance structures and policy frameworks,Volume A2 in tech-for-humanity,"governance, policy, regulation"
Section Slugs,Tech for Humanity,healthcare-wellbeing,Healthcare technology and wellbeing systems,Volume A3 in tech-for-humanity,"healthcare, wellbeing, digital-health"
Section Slugs,Tech for Humanity,education-knowledge,Educational technology and knowledge systems,Volume B1 in tech-for-humanity,"education, pedagogy, learning-systems"
Section Slugs,Tech for Humanity,climate-environment,Climate technology and environmental sustainability,Volume B2 in tech-for-humanity,"climate, environment, sustainability"
Section Slugs,Thinking Engine,disciplines,Core academic disciplines and fields,Chapter in thinking-engine,"cognitive-science, computer-science, philosophy"
Section Slugs,Thinking Engine,frameworks,Analytical and conceptual frameworks,Chapter in thinking-engine,"decision-frameworks, systems-frameworks"
Section Slugs,Thinking Engine,technologies,Key technologies across eras,Chapter in thinking-engine,"ai, cloud, quantum, bci"
Section Slugs,Thinking Engine,thinkers,Influential thinkers and their contributions,Chapter in thinking-engine,"kahneman, simon, senge"
Section Slugs,Thinking Engine,roles,Human roles in AI-augmented systems,Chapter in thinking-engine,"human-ai-collaboration, augmentation"
Section Slugs,WorkFamilyAI,chapter-1,Introduction to WorkFamily alignment,Chapter in workfamilyai,"alignment, introduction, overview"
Section Slugs,WorkFamilyAI,chapter-2,Neural Ennead framework,Chapter in workfamilyai,"neural-ennead, agents, domains"
Section Slugs,WorkFamilyAI,chapter-3,Executive team dynamics,Chapter in workfamilyai,"executive-teams, leadership, collaboration"
Exemplar Types,Content Classification,thinker,Individual thought leader or researcher,Primary type in the-thinkers,"kahneman, simon, senge"
Exemplar Types,Content Classification,framework,Analytical or conceptual framework,Found across all books,"decision-theory, systems-thinking, nudge-theory"
Exemplar Types,Content Classification,technology,Specific technology or platform,Found in thinking-engine and tech-for-humanity,"kubernetes, gpt, quantum-computing"
Exemplar Types,Content Classification,narrative-vignette,Story-based exploration of concepts,Primary type in gcbat-vignettes,"character-stories, scenarios"
Exemplar Types,Content Classification,organization,Organizational case study or example,Found across all books,"case-studies, companies"
Exemplar Types,Content Classification,methodology,Systematic approach or process,Found in regenerative-organization and workfamilyai,"strip-map-update, alignment-process"
Cross-Cutting Themes,Meta-Category,Governance & Ethics,Governance structures and ethical considerations,All books; Especially tech-for-humanity,"ai-ethics, governance, policy"
Cross-Cutting Themes,Meta-Category,Human-AI Interaction,Relationships between humans and AI systems,All books; Especially thinking-engine,"human-ai-collaboration, augmentation, alignment"
Cross-Cutting Themes,Meta-Category,Organizational Transformation,Change and evolution in organizations,Regenerative-organization; WorkFamilyAI; GCBAT,"change-management, transformation, culture"
Cross-Cutting Themes,Meta-Category,Technical Architecture,System design and implementation,Thinking-engine; Quantum-logic; Living-stack,"architecture, design-patterns, infrastructure"
Cross-Cutting Themes,Meta-Category,Social Impact,Societal effects of technology and systems,Tech-for-humanity; The-far-cage,"society, impact, sustainability"
Thinker Domains,Specialized Area,Decision Science,Scientific study of decision-making,Lobe: Decision/Action,"kahneman, simon, decision-theory"
Thinker Domains,Specialized Area,Behavioral Economics,Economics incorporating psychological insights,Lobe: Decision/Action,"kahneman, thaler, nudge-theory"
Thinker Domains,Specialized Area,Organizational Learning,Learning and adaptation in organizations,Lobe: Innovation/Strategy,"senge, learning-organizations"
Thinker Domains,Specialized Area,Systems Thinking,Holistic analysis of interconnected systems,Lobe: Innovation/Strategy,"senge, systems-theory, complexity"
Thinker Domains,Specialized Area,Cognitive Science,Interdisciplinary study of mind and intelligence,Lobe: Perception/Patterning,"cognitive-architecture, consciousness"
Thinker Domains,Specialized Area,Philosophy of Mind,Philosophical study of mental phenomena,Lobe: Ethics/Governance,"consciousness, phenomenology, qualia"
Thinker Domains,Specialized Area,AI Ethics,Ethical considerations in AI development,Lobe: Ethics/Governance,"ai-alignment, ai-safety, ethics"
Thinker Domains,Specialized Area,Quantum Theory,Physics of quantum mechanics and applications,Books: Quantum-logic,"quantum-computation, quantum-biology"
GCBAT Categories,Narrative System,Leadership Category,Character leadership archetype,Used in character profiles,"strategic-leader, ethical-guardian, innovation-catalyst"
GCBAT Categories,Narrative System,Strategic Theme,Overarching narrative theme,Used in vignettes and arcs,"governance, ethics, transformation"
GCBAT Categories,Narrative System,Agent Companion,AI companion associated with character,Each character has primary agent,"various agent codes"
Metadata Fields,GPT Context,content_id,Unique identifier for content piece,All content types,UUID or slug
Metadata Fields,GPT Context,content_type,Type of content (thinker/framework/technology/vignette),All content types,"thinker, framework, technology, narrative-vignette"
Metadata Fields,GPT Context,book_slug,Book identifier,All book-related content,"the-thinkers, tech-for-humanity, thinking-engine"
Metadata Fields,GPT Context,section_slug,Section/volume/chapter identifier,Subsections within books,"arc-1, ethics-consent, disciplines"
Metadata Fields,GPT Context,collection,Collection grouping,Book hierarchy,"Premier Collection, In Development, On the Drawing Board"
Metadata Fields,GPT Context,brain_lobe,Cognitive domain classification,Thinker profiles,"Perception/Patterning, Decision/Action, Innovation/Strategy"
Metadata Fields,GPT Context,era_mapping,Technology era classification,All exemplars,JSON with on_prem through bci mappings
Metadata Fields,GPT Context,tags,Topical tags array,All content,"Arrays of relevant tags from TAG_MAPPING"
Metadata Fields,GPT Context,related_thinkers,Connected thinker names,Thinkers and frameworks,Arrays of thinker names
Metadata Fields,GPT Context,related_frameworks,Connected framework names,Thinkers and technologies,Arrays of framework names
Metadata Fields,GPT Context,cross_cutting_themes,Meta-category themes,All content,"governance-ethics, human-ai-interaction, social-impact"
