#,Framework,Sticker,Slot,Best Use,,
55,Algorithmic Accountability,audit trails,Org,Compliance in deployments,,
56,Differential Privacy,noise injection,Signal/Org,Protecting patient data,,
57,Human-in-the-Loop AI,keep human control,Human/Org,Clinical & defence safeguards,,
58,Continuous Learning Culture (SAFe),inspect & adapt,Org,Agile adoption culture,,
59,DevOps CALMS,"culture, automation, lean, measurement, sharing",Org,IT operations integration,,
60,SRE (Google),error budgets,Org,Service reliability for neurocloud,,
61,ITIL v3/v4,IT service mgmt,Org,Baseline language for ops,,
62,SIAM,service integration,Org,Multi-vendor orchestration,,
63,COBIT,IT governance,Org,Compliance structures,,
64,ISO 38500,IT governance,Org,Board oversight,,
65,TOGAF,enterprise architecture,Org,Blueprinting ecosystems,,
66,IT4IT,value chain for IT,Org,IT operating model reference,,
67,NIST Cybersecurity Framework,identify–protect–detect–respond–recover,Org,Cyber baseline,,
68,Zero Trust,"never trust, always verify",Org,Secure BCI deployments,,
69,Data Mesh,decentralised data ownership,Org,BCI signal governance,,
70,Data Fabric,unified data layer,Org,Integration strategy,,
71,Open Innovation,share external knowledge,Org/Society,Collaboration models,,
72,Knowledge Spiral (Nonaka),tacit–explicit cycles,Org,Knowledge management,,
73,Design Thinking,empathise–define–ideate–prototype–test,Human/Org,Patient-centric design,,
74,Lean Startup,build–measure–learn,Org,Iterative innovation,,
75,Agile Manifesto,individuals & interactions,Org,Development mindset,,
76,SAFE (Scaled Agile),portfolio-level agility,Org,Scaling programs,,
77,Kanban,"flow, WIP limits",Org,Visualising clinical/ops work,,
78,Scrum,sprint cycles,Org,Agile execution,,
79,PRINCE2,structured project management,Org,Regulated project contexts,,
80,BABOK,business analysis,Org,Requirements capture,,
81,Six Sigma,reduce variation,Org,Process optimisation,,
82,Lean,eliminate waste,Org,Efficiency programs,,
83,TQM (Total Quality Mgmt),continuous quality,Org,Quality culture,,
84,Balanced Scorecard,4 perspectives,Org,Strategy execution,,
85,EFQM Model,excellence model,Org,Benchmarking,,
86,Kaizen,continuous small improvements,Org,Incremental change,,
87,OKRs,objectives & key results,Org,Aligning teams,,
88,KPI Frameworks,key indicators,Org,Measurement culture,,
89,Value Stream Mapping,flow diagrams,Org,Operations design,,
90,Hoshin Kanri,strategy deployment,Org,Long-term alignment,,
91,McKinsey Horizons,3 horizons growth,Org/Society,Long-term innovation framing,,
92,Shell Scenarios,plausible futures,Society,Scenario planning,,
93,PESTEL,"political, economic, social, tech, env, legal",Society,Macro scanning,,
94,SWOT,"strengths, weaknesses, opportunities, threats",Org,Baseline analysis,,
95,Porter 5 Forces,industry rivalry,Org/Society,Competitive framing,,
96,BCG Matrix,"stars, cash cows, dogs",Org,Portfolio mgmt,,
97,Ansoff Matrix,product–market growth,Org,Strategy lens,,
98,Tipping Point (Gladwell),small change → big effect,Society,Framing adoption shifts,,
99,Black Swan (Taleb),rare disruptive events,Society,Risk planning,,
100,Slow Science,resist speed,Society,Meta-critique of research tempo,,
